"codigodpto","dpto","codigompio","mpio","dimension","value","year","fuente","unidad"
"54","Norte de Santander","54001","Cúcuta","Medición de desempeño municipal",48.97,"2018","DNP - SPT","Puntos"
"54","Norte de Santander","54003","Ábrego","Medición de desempeño municipal",50.2,"2018","DNP - SPT","Puntos"
"54","Norte de Santander","54051","Arboledas","Medición de desempeño municipal",53.34,"2018","DNP - SPT","Puntos"
"54","Norte de Santander","54099","Bochalema","Medición de desempeño municipal",52.86,"2018","DNP - SPT","Puntos"
"54","Norte de Santander","54109","Bucarasica","Medición de desempeño municipal",42.85,"2018","DNP - SPT","Puntos"
"54","Norte de Santander","54125","Cácota","Medición de desempeño municipal",56.61,"2018","DNP - SPT","Puntos"
"54","Norte de Santander","54128","Cachirá","Medición de desempeño municipal",49.99,"2018","DNP - SPT","Puntos"
"54","Norte de Santander","54172","Chinácota","Medición de desempeño municipal",56.74,"2018","DNP - SPT","Puntos"
"54","Norte de Santander","54174","Chitagá","Medición de desempeño municipal",53.89,"2018","DNP - SPT","Puntos"
"54","Norte de Santander","54206","Convención","Medición de desempeño municipal",48.97,"2018","DNP - SPT","Puntos"
"54","Norte de Santander","54223","Cucutilla","Medición de desempeño municipal",48.81,"2018","DNP - SPT","Puntos"
"54","Norte de Santander","54239","Durania","Medición de desempeño municipal",41.72,"2018","DNP - SPT","Puntos"
"54","Norte de Santander","54245","El Carmen","Medición de desempeño municipal",48.01,"2018","DNP - SPT","Puntos"
"70","Sucre","70001","Sincelejo","Medición de desempeño municipal",55.65,"2018","DNP - SPT","Puntos"
"70","Sucre","70110","Buenavista","Medición de desempeño municipal",46.99,"2018","DNP - SPT","Puntos"
"70","Sucre","70124","Caimito","Medición de desempeño municipal",36.84,"2018","DNP - SPT","Puntos"
"70","Sucre","70204","Colosó","Medición de desempeño municipal",25.05,"2018","DNP - SPT","Puntos"
"70","Sucre","70215","Corozal","Medición de desempeño municipal",43.87,"2018","DNP - SPT","Puntos"
"70","Sucre","70221","Coveñas","Medición de desempeño municipal",56.11,"2018","DNP - SPT","Puntos"
"70","Sucre","70230","Chalán","Medición de desempeño municipal",41.19,"2018","DNP - SPT","Puntos"
"70","Sucre","70233","El Roble","Medición de desempeño municipal",43.35,"2018","DNP - SPT","Puntos"
"70","Sucre","70235","Galeras","Medición de desempeño municipal",35.13,"2018","DNP - SPT","Puntos"
"70","Sucre","70265","Guaranda","Medición de desempeño municipal",24.25,"2018","DNP - SPT","Puntos"
"70","Sucre","70400","La Unión","Medición de desempeño municipal",49.41,"2018","DNP - SPT","Puntos"
"70","Sucre","70418","Los Palmitos","Medición de desempeño municipal",50.22,"2018","DNP - SPT","Puntos"
"70","Sucre","70429","Majagual","Medición de desempeño municipal",45.03,"2018","DNP - SPT","Puntos"
"70","Sucre","70473","Morroa","Medición de desempeño municipal",28.98,"2018","DNP - SPT","Puntos"
"70","Sucre","70508","Ovejas","Medición de desempeño municipal",31.47,"2018","DNP - SPT","Puntos"
"70","Sucre","70523","Palmito","Medición de desempeño municipal",37.31,"2018","DNP - SPT","Puntos"
"70","Sucre","70670","Sampués","Medición de desempeño municipal",36.82,"2018","DNP - SPT","Puntos"
"70","Sucre","70678","San Benito Abad","Medición de desempeño municipal",38.04,"2018","DNP - SPT","Puntos"
"70","Sucre","70702","San Juan de Betulia","Medición de desempeño municipal",41.07,"2018","DNP - SPT","Puntos"
"70","Sucre","70708","San Marcos","Medición de desempeño municipal",47.11,"2018","DNP - SPT","Puntos"
"70","Sucre","70713","San Onofre","Medición de desempeño municipal",24.62,"2018","DNP - SPT","Puntos"
"70","Sucre","70717","San Pedro","Medición de desempeño municipal",40.21,"2018","DNP - SPT","Puntos"
"70","Sucre","70742","San Luis de Sincé","Medición de desempeño municipal",41.53,"2018","DNP - SPT","Puntos"
"70","Sucre","70771","Sucre","Medición de desempeño municipal",47.35,"2018","DNP - SPT","Puntos"
"70","Sucre","70820","Santiago de Tolú","Medición de desempeño municipal",54.66,"2018","DNP - SPT","Puntos"
"70","Sucre","70823","Tolú Viejo","Medición de desempeño municipal",53.81,"2018","DNP - SPT","Puntos"
"73","Tolima","73001","Ibagué","Medición de desempeño municipal",59.21,"2018","DNP - SPT","Puntos"
"73","Tolima","73024","Alpujarra","Medición de desempeño municipal",52.29,"2018","DNP - SPT","Puntos"
"73","Tolima","73026","Alvarado","Medición de desempeño municipal",68.8,"2018","DNP - SPT","Puntos"
"73","Tolima","73030","Ambalema","Medición de desempeño municipal",56.73,"2018","DNP - SPT","Puntos"
