"iso3","year","df_ha","gdp_perc","food_exports","exports_gdp","food_infl","pop_growth","gdp_growth","foreing_invest","tmp_change"
"CAF",2013,1943.75,824.943,0.125906,14.973,-36.8370279878452,0.259648,-36.392,1900000,0.825
"CAF",2014,1743.75,822.611,0.102849,16.6758,95.1868050772041,0.364134,0.081071,3500000,0.682
"CAF",2010,11950,1201.35,1.52409,11.6258,143.784621320619,1.12656,4.63082,62000000,1.137
"CAF",2011,14768.8,1242.71,1.20808,13.1278,62.8546925453092,0.723968,4.19462,37000000,0.774
"CAF",2012,57393.8,1300.29,0.431091,11.5501,63.9761211654994,0.401399,5.05376,70000000,0.494
"CAF",2007,13600,1082.69,2.69954,14.1153,142.743786780178,1.92234,4.60753,57000000,0.559
"CAF",2009,3775,1161.19,3.54237,9.84165,166.72081911474,1.49242,8.58726,42000000,1.153
"CAF",2008,5675,1085.44,1.44091,11.0037,154.219172770726,1.77931,2.05413,120000000,0.66
"CAF",2018,1793.75,933.11,0.208241,18.8836,55.8748682819804,1.51912,3.78944,18000000,1.179
"CAF",2006,3512.5,1055.09,0.249827,14.316,168.140056730382,1.95422,4.77109,35000000,0.998
"CAF",2016,5950,884.495,0.350551,14.8219,54.5167014125637,0.985784,4.75032,7300000,1.217
"CAF",2017,6818.75,912.803,1.38351,17.2598,35.344803236829,1.27748,4.52728,6900000,1.171
"CAF",2005,20756.3,1026.91,0.835466,13.3628,171.307188911726,1.96291,0.908211,10000000,1.071
"CAF",2004,50218.8,1037.84,1.88971,13.9979,110.283056488492,2.0074,5.99488,15000000,1.057
"CAF",2015,6125,852.749,0.521338,17.0677,70.0941257297681,0.647516,4.33712,3000000,0.984
"CHL",2010,108025,21262.5,16.5316,37.7451,2.19836,1.03891,5.84418,16000000000,-0.041
"CHL",2015,164056,24440.4,24.2534,29.3763,7.17068,1.17772,2.30377,21000000000,0.72
"CHL",2006,105294,19603.7,15.0589,43.7951,2.6367,1.05599,6.31718,7600000000,0.529
"CHL",2013,70387.5,24006.8,20.4374,32.1995,4.44313,0.978806,4.045,22000000000,0.423
"CHL",2011,129525,22337.9,17.3919,37.762,6.68515,0.997515,6.11092,26000000000,0.166
"CHL",2018,51575,25028.9,24.2297,28.5072,3.05432,1.39106,3.71386,7800000000,0.382
"CHL",2008,182406,20840.4,18.788,41.4242,17.28,1.07138,3.52953,18000000000,0.425
"CHL",2012,103650,23300.4,18.3066,34.1219,7.65205,0.96308,5.31863,31000000000,0.671
"CHL",2005,121156,18634.6,19.1248,40.1598,2.86332,1.04195,5.74283,7500000000,0.196
"CHL",2004,124319,17807.2,21.4463,39.8024,-1.92018,1.03767,7.20954,6800000000,0.505
"CHL",2017,193213,24470.7,24.1115,28.4368,2.0303,1.42514,1.18454,6100000000,0.715
"CHL",2007,136294,20346.7,15.1086,45.069,9.49674,1.06856,4.90532,13000000000,-0.287
"CHL",2009,182563,20298.3,19.8686,37.0408,4.68336,1.05929,-1.56424,14000000000,0.441
"CHL",2016,131419,24531.4,26.125,28.1486,3.82827,1.32521,1.71109,12000000000,0.879
"CHL",2014,109869,24173.1,22.308,33.1107,6.9507,1.06118,1.76674,24000000000,0.467
"CHN",2010,314588,8884.59,2.79842,27.1853,1102.47242732881,0.48296,10.6359,240000000000,0.94
"CHN",2005,213781,5334.65,3.23319,33.8299,493.70048528414,0.588125,11.3946,100000000000,1.02
"CHN",2006,233531,5979.78,2.87575,36.035,477.145954324615,0.558374,12.721,120000000000,1.203
"CHN",2004,174825,4817.21,3.50822,31.0613,241.145484630521,0.593933,10.1136,68000000000,1.082
